abolish v. C1 | kaldırmak, yürürlükten kaldırmak
endorse v. C1 | Onaylamak, Desteklemek
endorsement n. C1 | Onay, Mührü
endure v. C1 | Dayanmak, Katlanmak
enforce v. C1 | Uygulamak, Zorlamak
enforcement n. C1 | Uygulama, Zorlama
engagement n. C1 | Nişan, Sözleşme
engaging adj. C1 | Cazip, Çekici
enjoyable adj. B2 | Zevkli, Keyifli
enrich v. C1 | Zenginleştirmek, Zenginlik Katmak
enroll v. C1 | Kaydolmak, Üye Olmak
ensue v. C1 | Ardından Gelmek, İzlemek
enterprise n. C1 | Girişim, İşletme
entertaining adj. B2 | Eğlenceli, Eğlendirici
enthusiast n. C1 | Meraklı, Tutkulu
entitle v. C1 | Yetkilendirmek, Hak Kazandırmak
entity n. C1 | Varlık, Varoluş
entrepreneur n. B2 | Girişimci, İşadamı
envelope n. B2 | Zarf, Mektup Zarfı
epidemic n. C1 | Salgın, Veba
equality n. C1 | Eşitlik, Denklik
equation n. C1 | Denklem, Eşitlik
equip v. B2 | Donatmak, Ekipman Sağlamak
equivalent n., adj. B2 | Eşdeğer, Denk
era n. B2 | Dönem, Çağ
erect v. C1 | Dikmek, İnşa Etmek
erupt v. B2 | Patlamak, Patlak Vermek
escalate v. C1 | Tırmanmak, Yükselmek
essence n. C1 | Esas, Öz
essentially adv. B2 | Esasen, Temelde
establishment n. C1 | Kuruluş, Kurum
eternal adj. C1 | Ebedi, Sonsuz
ethic n. B2 | Etik, Ahlak
ethnic adj. B2 | Etnik, Irksal
evacuate v. C1 | Boşaltmak, Tahliye Etmek
evaluation n. B2 | Değerlendirme, Değer Tahlili
evident adj. B2 | Açık, Belirgin
evoke v. C1 | Anımsatmak, Hatırlatmak
evolution n. B2 | Evrim, Gelişim
evolutionary adj. C1 | Evrimsel, Gelişimsel
evolve v. B2 | Evrim Geçirmek, Gelişmek
exaggerate v. C1 | Abartmak, Büyütmek
exceed v. B2 | Aşmak, Geçmek
excellence n. C1 | Mükemmellik, Üstünlük
exception n. B2 | İstisna, Ayrıcalık
exceptional adj. C1 | Olağanüstü, İstisnai
excess n., adj. C1 | Aşırı, Fazla | Fazlalık, Aşırılık
excessive adj. B2 | Aşırı, Abartılı
exclude v. B2 | Dışlamak, Hariç Tutmak
exclusion n. C1 | Dışlama, Hariç Tutma
exclusive adj. C1 | Özel, Münhasır
exclusively adv. C1 | Sadece, Yalnızca
execute v. C1 | Yerine Getirmek, Uygulamak
execution n. C1 | İcra, Yerine Getirme
exert v. C1 | Harcamak, Çaba Sarf Etmek
exile n. C1 | Sürgün, Sürgüne Gönderme
exotic adj. B2 | Egzotik, Yabancı
expansion n. B2 | Genişleme, Büyüme
expedition n. B2 | Keşif Gezisi, Sefer
expenditure n. C1 | Harcama, Gider
experimental adj. C1 | Deneysel, Deneysel Nitelikte
expertise n. B2 | Uzmanlık, Beceri
expire v. C1 | Süresi Dolmak, Geçerliliğini Yitirmek
explicit adj. C1 | Açık, Belirgin
explicitly adv. C1 | Açıkça, Belirgin Bir Şekilde
exploit v. B2 | Sömürmek, Kötüye Kullanmak
exploitation n. C1 | Sömürü, Kötüye Kullanma
explosive adj., n. C1 | Patlayıcı, Patlayan | Patlayıcı Madde
exposure n. B2 | Maruz Kalma, Teşhir
extension n. B2 | Uzantı, Genişletme
extensive adj. B2 | Kapsamlı, Geniş
extensively adv. B2 | Geniş Bir Biçimde, Kapsamlı Bir Şekilde
extract n. B2, v. C1 | Özüt, Öz | Çıkarmak, Elde Etmek
extremist n. C1 | Aşırı, Radikal
fabric n. B2 | Kumaş, Doku
fabulous adj. B2 | Masalsı, Şahane
facilitate v. C1 | Kolaylaştırmak, Olanak Sağlamak
faction n. C1 | Fraksiyon, Cephe
faculty n. B2 | Fakülte, Yetenek
fade v. C1 | Solmak, Solgunlaşmak
failed adj. B2 | Başarısız, Hüsran
fairness n. C1 | Adalet, Tarafsızlık
fake adj. B2 | Sahte, Taklit
fame n. B2 | Şöhret, Ün
fantasy n. B2 | Hayal, Fantazi
fare n. B2 | Bilet Ücreti, Seyahat Bedeli
fatal adj. C1 | Ölümcül, Kaderi Belirleyen
fate n. C1 | Kader, Yazgı
favorable adj. C1 | Olumlu, Müsait
feat n. C1 | Başarı, Kahramanlık
felony n. C1 | Cürüm, Ağır Suç
feminist adj., n. C1 | Feminist, Kadın Hakları Savunucusu
fiber n. C1 | Lif, İplik
fierce adj. C1 | Vahşi, Şiddetli
filmmaker n. C1 | Yapımcı, Film Yapımcısı
filter n., v. C1 | Filtre, Süzmek
fine n., v. C1 | Ceza, Para Cezası | Para Cezası Vermek
firearm n. C1 | Ateşli Silah, Tabanca
firefighter n. B2 | İtfaiyeci, Yangın Söndürücü
firework n. B2 | Havai Fişek, Şamandıra
firm adj. B2 | Sıkı, Sağlam
firmly adv. B2 | Sıkıca, Kesinlikle
fiscal adj. C1 | Mali, Maliye
fit n. C1 | Uygunluk, Form
flavor n. B2 | Lezzet, Tat
flaw n. C1 | Kusur, Hata
flawed adj. C1 | Hatalı, Kusurlu
flee v. C1 | Kaçmak, Firar Etmek
fleet n. C1 | Filo, Donanma
flesh n. C1 | Et, Cilt
flexibility n. C1 | Esneklik, Esneklik
flourish v. C1 | Gelişmek, Büyümek
fluid n. C1 | Akışkan, Sıvı
fond adj. B2 | Düşkün, Meraklı
fool n. B2 | Aptal, Budala
footage n. C1 | Görüntü Malzemesi, Kamera Çekimi
forbid v. B2 | Yasaklamak, Menetmek
forecast n., v. B2 | Tahmin, Hava Tahmini | Tahmin Etmek, Hava Tahmin Etmek
foreigner n. C1 | Yabancı, Göçmen
forge v. C1 | Sahtesini Yapmak, Demir Dövmek
format n. B2 | Biçim, Format
formation n. B2 | Oluşum, Yapılanma
formerly adv. B2 | Eskiden, Önceden
formula n. C1 | Formül, Reçete
formulate v. C1 | Formüle Etmek, Düşünmek
forth adv. C1 | İleri, İlerisi
forthcoming adj. C1 | Yakın, Gelecek
fortunate adj. B2 | Şanslı, Talihli
forum n. B2 | Forum, Tartışma Platformu
fossil n. B2 | Fosil, Kalıntı
foster v. C1 | Beslemek, Teşvik Etmek
foundation n. B2 | Vakıf, Kuruluş
founder n. B2 | Kurucu, İsnatçı
fraction n. B2 | Kesir, Pay
fragile adj. C1 | Kırılgan, Kolayca Kırılabilen
fragment n. B2 | Parça, Kırık
framework n. B2 | Çerçeve, Yapı
franchise n. C1 | Franchise, Lisans
frankly adv. C1 | Açıkça, Dürüstçe
fraud n. B2 | Dolandırıcılık, Sahtekârlık
freely adv. B2 | Serbestçe, Özgürce
frequent adj. B2 | Sık, Sıkça
freshman n. C1 | Birinci Sınıf Öğrencisi, İlk Yıl Öğrencisi
frustrated adj. C1 | Hayal Kırıklığına Uğramış, Bezgin
frustrating adj. C1 | Hayal Kırıklığı Yaratan, Can Sıkıcı
frustration n. C1 | Hayal Kırıklığı, Bezginlik
fulfill v. B2 | Yerine Getirmek, Gerçekleştirmek
full-time adj./adv. B2 | Tam Zamanlı | Tam Zamanlı Olarak
functional adj. C1 | Fonksiyonel, İşlevsel
fundamentally adv. B2 | Temelde, Esasen
fundraising n. C1 | Bağış Toplama, Fon Toplama
funeral n. C1 | Cenaze, Cenaze Töreni
furious adj. B2 | Öfkeli, Kızgın
gallon n. B2 | gallon, galon
gambling n. C1 | kumar
gaming n. B2 | oyun
gathering n. C1 | toplama, toplantı
gay adj. B2 | eşcinsel, mutlu
gaze n., v. C1 | bakış, bakmak
gear n. C1 | vites, dişli
gender n. B2 | cinsiyet, cins
gene n. B2 | gen, genetik
generic adj. C1 | genel, yaygın
genetic adj. B2 | genetik
genius n. B2 | deha, dahi
genocide n. C1 | soykırım, katliam
genuine adj. B2 | gerçek, hakiki
genuinely adv. B2 | gerçekten, hakikaten
gesture n. B2 | jest, hareket
gig n. C1 | konser, gösteri
glance n., v. C1 | göz atma, göz atmak
glimpse n. C1 | bakış, bakış atma
globalization n. B2 | küreselleşme, globalleşme
globe n. B2 | dünya, küre
glorious adj. C1 | muhteşem, görkemli
glory n. C1 | ihtişam, şan
golden adj. B2 | altın, altın rengi
goodness n. B2 | iyilik, hayır
gorgeous adj. B2 | muhteşem, harika
governance n. C1 | yönetim, idare
grace n. C1 | zarafet, lütuf
graphic adj. B2 | grafik, görsel
graphics n. B2 | grafikler, görseller
grasp v., n. C1 | kavramak, kavrama
grave (for dead person) n. C1 | mezar, kabir
grave (serious) adj. C1 | ciddi, vahim
gravity n. C1 | yerçekimi, ciddiyet
greatly adv. B2 | büyük ölçüde, çokça
greenhouse n. B2 | sera, seracılık
grid n. C1 | ızgara, şebeke
grief n. C1 | üzüntü, acı
grin v., n. C1 | sırıtmak, sırıtış
grind v. C1 | öğütmek, öğütme
grip n., v. C1 | sıkı tutma, tutma
gross adj. C1 | brüt, toplam
guerrilla n. C1 | gerilla, partizan
guidance n. C1 | rehberlik, yönlendirme
guideline n. B2 | kılavuz, yönerge
guilt n. C1 | suçluluk, suç
gut n. C1 | bağırsak, iç organlar
habitat n. B2 | yaşam alanı, doğal ortam
hail v. C1 | dolu yağmak, dolu
halfway adv. C1 | yarı yolda, ortada
halt v., n. C1 | durmak, durma
handful n. C1 | avuç dolusu, bir avuç
handling n. C1 | işleme, ele alma
handy adj. C1 | kullanışlı, elverişli
harassment n. C1 | taciz, rahatsız etme
harbor n. B2 | liman, barınak
hardware n. C1 | donanım, donatı
harmony n. C1 | uyum, denge
harsh adj. C1 | sert, acımasız
harvest n., v. C1 | hasat, hasat etme
hatred n. C1 | nefret, düşmanlık
haunt v. C1 | dadanmak, hayalet gibi takip etmek
hazard n. C1 | tehlike, risk
headquarters n. B2 | merkez, karargah
heal v. B2 | iyileşmek, iyileştirmek
healthcare n. B2 | sağlık hizmeti, sağlık bakımı
heighten v. C1 | yükseltmek, artırmak
helmet n. B2 | kask, başlık
hence adv. B2 | bu nedenle, dolayısıyla
herb n. B2 | bitki, ot
heritage n. C1 | miras, kültürel miras
hidden adj. B2 | gizli, saklı
hierarchy n. C1 | hiyerarşi, derecelendirme sistemi
high-profile adj. C1 | yüksek profilli, tanınmış
hilarious adj. B2 | çok komik, eğlenceli
hint n., v. C1 | ipucu, işaret
hip n. B2 | kalça, ön yüzgeç
historian n. B2 | tarihçi, tarih uzmanı
homeland n. C1 | ana vatan, yurt
homeless adj. B2 | evsiz, sokakta yaşayan
honesty n. B2 | dürüstlük, samimiyet
honey n. B2 | bal, şeker
hook n., v. B2 | kanca, çengel
hopeful adj. C1 | umutlu, umut veren
hopefully adv. B2 | umutla, umarım
horizon n. C1 | ufuk, görüş alanı
horn n. C1 | boynuz, korna
hostage n. C1 | rehine, esir
hostile adj. C1 | düşman, saldırgan
hostility n. C1 | düşmanlık, saldırganlık
humanitarian adj. C1 | insanî, insancıl
humanity n. C1 | insanlık, insaniyet
humble adj. C1 | alçakgönüllü, mütevazi
hunger n. B2 | açlık, acıkmak
hydrogen n. C1 | hidrojen, suyakı
hypothesis n. B2 | hipotez, varsayım
icon n. B2 | ikon, sembol
ID n. B2 | kimlik, tanıtıcı
identical adj. B2 | aynı, özdeş
identification n. C1 | tanımlama, kimlik belirleme
ideological adj. C1 | ideolojik, düşünsel
ideology n. C1 | ideoloji, düşünce sistemi
idiot n. C1 | aptal, salak
ignorance n. C1 | cehalet, bilgisizlik
illusion n. B2 | yanılsama, hayal
imagery n. C1 | imgeler, görsellik
immense adj. C1 | muazzam, engin
immigration n. B2 | göç, göç etme
imminent adj. C1 | yakın, eli kulağında
immune adj. B2 | bağışıklık, bağışıklı
implement v. B2 | uygulamak, yerine getirmek
implementation n. C1 | uygulama, gerçekleştirme
implication n. B2 | ima, çıkarım
imprison v. C1 | hapis etmek, hapsetmek
inability n. C1 | yeteneksizlik, acizlik
inadequate adj. C1 | yetersiz, eksik
inappropriate adj. C1 | uygun olmayan, aykırı
incarcerate v. C1 | hapsetmek, hapis cezası vermek
incarceration n. C1 | hapis, hapis cezası
incentive n. B2 | teşvik, özendirme
incidence n. C1 | insidans, rastlanma sıklığı
inclined adj. C1 | eğilimli, meyilli
inclusion n. C1 | dahil etme, içermek
incorporate v. B2 | birleştirmek, şirketleşmek
incorrect adj. B2 | yanlış, hatalı
incur v. C1 | maruz kalmak, yüklenmek
independence n. B2 | bağımsızlık, özgürlük
index n. B2 | indeks, dizin
indication n. B2 | belirti, işaret
indicator n. C1 | gösterge, belirteç
indictment n. C1 | suçlama, dava
indigenous adj. C1 | yerli, yerel
induce v. C1 | neden olmak, ikna etmek
indulge v. C1 | şımartmak, hoşgörmek
inequality n. C1 | eşitsizlik, adaletsizlik
inevitable adj. B2 | kaçınılmaz, elbet
inevitably adv. B2 | kaçınılmaz bir şekilde, elbette
infamous adj. C1 | kötü ünlü, rezil
infant n. C1 | bebek, süt çocuğu
infect v. C1 | enfekte etmek, bulaştırmak
infer v. B2 | çıkarsamak, sonuç çıkarmak
inflation n. B2 | enflasyon, para değerinin düşmesi
inflict v. C1 | zarar vermek, acı vermek
influential adj. C1 | etkili, etkileyici
info n. B2 | bilgi, bilgi verme
infrastructure n. B2 | altyapı, temel sistemler
inhabitant n. B2 | sakin, oturan
inherent adj. C1 | içsel, doğuştan gelen
inherit v. B2 | miras almak, kalıtım almak
inhibit v. C1 | engellemek, durdurmak
initiate v. C1 | başlatmak, başlamak
inject v. C1 | enjekte etmek, iğne yapmak
injection n. C1 | enjeksiyon, iğne
injustice n. C1 | adaletsizlik, haksızlık
ink n. B2 | mürekkep, damga
inmate n. C1 | mahkum, sakin
innovation n. B2 | yenilik, inovasyon
innovative adj. B2 | yenilikçi, inovatif
input n. B2 | giriş, katkı
inquire v. C1 | sormak, araştırmak
insert v. B2 | yerleştirmek, sokmak
insertion n. C1 | ek, sokma
insider n. C1 | içeriden olan kişi, iç çevre
inspect v. C1 | denetlemek, incelemek
inspection n. C1 | denetleme, inceleme
inspector n. B2 | denetçi, kontrolör
inspiration n. C1 | ilham, esin
installation n. B2 | kurulum, montaj
instant adj. B2 | anlık, hemen
instantly adv. B2 | anında, hemen
instinct n. C1 | içgüdü, içsel dürtü
institutional adj. C1 | kurumsal, kurumla ilgili
instruct v. C1 | talimat vermek, öğretmek
instrumental adj. C1 | enstrümantal, aracı
insufficient adj. C1 | yetersiz, eksik
insult n., v. C1 | hakaret, hakaret etmek
intact adj. C1 | sağlam, dokunulmamış
intake n. C1 | alım, tüketim
integral adj. C1 | bütünleyici, tamamlayıcı
integrate v. B2 | entegre etmek, birleştirmek
integrated adj. C1 | entegre, birleşik
integration n. C1 | entegrasyon, birleşme
integrity n. C1 | bütünlük, dürüstlük
intellectual adj. B2, n. C1 | entelektüel, zeki kişi
intensify v. C1 | yoğunlaştırmak, şiddetlendirmek
intensity n. C1 | yoğunluk, şiddet
intensive adj. C1 | yoğun, şiddetli
intent n. C1 | niyet, amaç
interact v. B2 | etkileşimde bulunmak, etkileşmek
interaction n. B2 | etkileşim, etkileşme
interactive adj. C1 | etkileşimli, etkileşime açık
interface n. C1 | arayüz, etkileşim
interfere v. C1 | müdahale etmek, karışmak
interference n. C1 | müdahale, karışma
interim adj. C1 | geçici, ara
interior adj., n. C1 | iç, iç kısım
intermediate adj. C1 | orta, ara
interpretation n. B2 | yorum, çeviri
intersection n. C1 | kavşak, kesişim
interval n. B2 | aralık, zaman dilimi
intervene v. C1 | müdahale etmek, araya girmek
intervention n. C1 | müdahale, araya girme
intimate adj. C1 | samimi, yakın
intriguing adj. C1 | merak uyandırıcı, entrikacı
invade v. B2 | istila etmek, saldırmak
invasion n. B2 | istila, saldırı
inventory n. C1 | envanter, stok
investigator n. C1 | soruşturmacı, araştırmacı
investor n. B2 | yatırımcı, sermayedar
invisible adj. C1 | görünmez, gözle görülmeyen
invoke v. C1 | çağırmak, dilemek
involvement n. C1 | katılım, dahil olma
ironic adj. C1 | ironik, alaycı
ironically adv. C1 | ironik bir şekilde, alaycı bir şekilde
irony n. C1 | ironi, alay
irrelevant adj. C1 | ilgisiz, konu dışı
isolate v. B2 | izole etmek, yalıtmak
isolated adj. B2 | izole, yalnız
isolation n. C1 | izolasyon, yalnızlık
jail n., v. B2 | hapishane, hapse atmak
jet n. B2 | jet, roket
joint adj., n. B2 | ortak, eklemlenmiş
journalism n. B2 | gazetecilik, habercilik
judicial adj. C1 | yargısal, adli
jurisdiction n. C1 | yargı yetkisi, yargı alanı
jury n. B2 | jüri, mahkeme heyeti
just adj. C1 | adil, hakkaniyetli
justification n. C1 | gerekçe, haklılık
keen adj. C1 | hevesli, istekli
kidnap v. C1 | kaçırmak, fidye talep etmek
kidney n. C1 | böbrek, böbrekler
kindergarten n. B2 | anaokulu, çocuk bahçesi
kingdom n. C1 | krallık, krallık bölgesi
kit n. B2 | takım, kiti
ladder n. B2 | merdiven
landing n. B2 | iniş, iniş yeri
landlord n. C1 | ev sahibi, mal sahibi
landmark n. C1 | kent simgesi, dikkat çeken yer
lane n. B2 | yol, şerit
lap n. C1 | tur, dönem
large-scale adj. C1 | büyük ölçekli, geniş kapsamlı
laser n. C1 | lazer
lately adv. B2 | son zamanlarda, yakınlarda
latter adj., n. C1 | ikincisi, sonuncusu
lawmaker n. C1 | yasama organı üyesi, yasama görevlisi
lawn n. C1 | çim, çimenlik
lawsuit n. C1 | dava, hukuki işlem
layout n. C1 | düzen, tasarım
leak v., n. C1 | sızdırmak, sızıntı
leap v., n. C1 | atlamak, sıçramak
legacy n. C1 | miras, kalıt
legend n. B2 | efsane, efsanevi kişi
legendary adj. C1 | efsanevi, efsaneleşmiş
legislation n. C1 | yasama, mevzuat
legislative adj. C1 | yasama, yasama ile ilgili
legislature n. C1 | yasama organı, meclis
legitimate adj. C1 | meşru, sahih
lengthy adj. C1 | uzun, uzun soluklu
lens n. B2 | mercek, lens
lesbian adj. C1 | lezbiyen
lesser adj. C1 | daha az, küçük
lethal adj. C1 | ölümcül, öldürücü
liable adj. C1 | sorumlu, yükümlü
liberal adj., n. C1 | liberal, özgürlükçü
liberation n. C1 | özgürlük, kurtuluş
liberty n. C1 | özgürlük, hürriyet
lifelong adj. C1 | ömür boyu, hayat boyu
lifetime n. B2 | ömür, yaşam süresi
lighting n. B2 | aydınlatma, ışıklandırma
likelihood n. C1 | olasılık, ihtimal
likewise adv. B2 | aynı şekilde, aynen
limb n. C1 | uzuv, kol veya bacak
limitation n. B2 | kısıtlama, sınırlama
linear adj. C1 | lineer, doğrusal
lineup n. C1 | kadro, sıralama
linger v. C1 | vakit kaybetmek, gecikmek
listing n. C1 | listeleme, kayıt
liter n. C1 | litre
literacy n. C1 | okur-yazarlık, alfabe bilgisi
literally adv. B2 | kelimenin tam anlamıyla, harfi harfine
literary adj. B2 | edebi, yazınsal
litter n. B2 | çöp, pislik
liver n. C1 | karaciğer
lobby n., v. C1 | lobi, lobici
log n., v. C1 | günlük, kayıt tutmak
logic n. C1 | mantık, mantıklı düşünce
logo n. B2 | logo, marka işareti
long-standing adj. C1 | uzun süreli, köklü
longtime adj. C1 | uzun zamandır, yıllardır
loom v. C1 | belirmek, görünmek
loop n. C1 | döngü, döngüsel yol
lottery n. B2 | piyango, şans oyunu
loyal adj. B2 | sadık, vefalı
loyalty n. C1 | sadakat, bağlılık
lyric n. B2 | söz, lirik şarkı sözü
machinery n. C1 | makine, mekanizma
magical adj. C1 | sihirli, büyülü
magnetic adj. C1 | manyetik, çekici
magnificent adj. B2 | muhteşem, görkemli
magnitude n. C1 | büyüklük, genişlik
mainland n. C1 | anakara, kara parçası
mainstream n., adj. C1 | ana akım, çoğunluk
maintenance n. C1 | bakım, onarım
makeup n. B2 | makyaj, yapay öğeler
making n. B2 | yapma, üretme
mandate n. C1 | yetki, görev
mandatory adj. C1 | zorunlu, mecburi
manifest v. C1 | belirginleştirmek, açığa çıkarmak
manipulate v. C1 | manipüle etmek, hile yapmak
manipulation n. C1 | manipülasyon, hile
manufacture v. B2 | imal etmek, üretmek
manufacturing n. B2 | imalat, üretim
manuscript n. C1 | el yazması, yazma eser
marathon n. B2 | maraton, uzun koşu yarışı
march n., v. C1 | mart, yürüyüş, yürümek
margin n. B2 | marj, kenar
marginal adj. C1 | marjinal, sınırlı
marine adj. C1 | deniz, denizle ilgili
marker n. B2 | işaretçi, belirteç
marketplace n. C1 | pazar, ticaret yeri
martial adj. B2 | askeri, savaşa ilişkin
mask n. C1 | maske, maskara
massacre n. C1 | katliam, soykırım
mate n., v. B2 | arkadaş, eşlemek
mathematical adj. C1 | matematiksel, sayısal
mature adj., v. C1 | olgun, olgunlaşmak
maximize v. C1 | maksimuma çıkarmak, en üst düzeye çıkarmak
meaningful adj. C1 | anlamlı, manalı
meantime n. C1 | bu arada, bu sırada
mechanic n. B2 | tamirci, mekanik
mechanical adj. B2 | mekanik, otomatik
mechanism n. B2 | mekanizma, sistem
medal n. B2 | madalya, nişan
medication n. B2 | ilaç, tıbbi tedavi
medieval adj. C1 | ortaçağ, ortaçağa ait
meditation n. C1 | meditasyon, düşünce
melody n. C1 | melodi, ezgi
membership n. B2 | üyelik, üye olma
memo n. C1 | not, kısa not
memoir n. C1 | anı, hatıra
memorable adj. B2 | unutulmaz, akılda kalıcı
memorial n. C1 | anıt, anı
mentor n. C1 | mentor, rehber
merchant n. C1 | tüccar, satıcı
mercy n. C1 | merhamet, acıma
mere adj. C1 | sadece, yalnızca
merely adv. C1 | yalnızca, sadece
merge v. C1 | birleştirmek, kaynaştırmak
merger n. C1 | birleşme, birleştirme
merit n. C1 | erdem, değer
metaphor n. B2 | metafor, mecaz
methodology n. C1 | yöntembilim, metodoloji
midst n. C1 | içinde, ortasında
migration n. C1 | göç, göç etme
militant n., adj. C1 | militan, savaşçı
militia n. C1 | milis kuvvet, halk ordusu
mill n. C1 | değirmen, fabrika
miner n. B2 | madenci
minimal adj. C1 | en aza indirgenmiş, minimal
minimize v. C1 | en aza indirmek, minimize etmek
mining n. C1 | madencilik, maden çıkarma
ministry n. C1 | bakanlık, hükümet departmanı
minute n. C1 | dakika, an
miracle n. C1 | mucize, keramet
miserable adj. B2 | sefil, perişan
misery n. C1 | sefalet, acı
misleading adj. C1 | yanıltıcı, aldatıcı
missile n. C1 | füze, roket
mob n. C1 | kalabalık, çete
mobile adj. C1 | taşınabilir, hareketli
mobility n. C1 | hareketlilik, mobilite
mobilize v. C1 | harekete geçirmek, seferber etmek
mode n. B2 | moda, tarz
moderate adj. C1 | ılımlı, orta
modest adj. B2 | mütevazı, alçakgönüllü
modification n. C1 | değişiklik, değiştirme
module n. C1 | modül, birim
momentum n. C1 | ivme, eylemsizlik momenti
monk n. C1 | rahip, keşiş
monopoly n. C1 | tekeli, tekelcilik
monster n. B2 | canavar, yaratık
monthly adj. B2 | aylık, her ay olan
monument n. B2 | anıt, abide
morality n. C1 | ahlak, erdem
moreover adv. B2 | dahası, üstelik
mortgage n. B2 | ipotek, rehin
mosque n. B2 | cami, mescit
mosquito n. B2 | sivrisinek, zanavara
motion n. B2 | hareket, eylem
motivate v. B2 | motive etmek, teşvik etmek
motivation n. B2 | motivasyon, hırs
motive n. C1 | neden, sebep
moving adj. B2 | hareketli, duygusal
municipal adj. C1 | belediye, şehirsel
mutual adj. C1 | karşılıklı, ortak
myth n. B2 | efsane, masal
naked adj. B2 | çıplak, soyunmuş
namely adv. C1 | yani, şöyle ki
nasty adj. B2 | kötü, iğrenç
nationwide adj. C1 | ülke çapında, genel
naval adj. C1 | deniz, denizcilikle ilgili
navigation n. B2 | seyir, yolculuk
nearby adj., adv. B2 | yakın, civardaki
necessity n. B2 | gereklilik, zorunluluk
neglect v., n. C1 | ihmal etmek, ihmal
negotiate v. B2 | müzakere etmek, görüşmek
negotiation n. B2 | müzakere, görüşme
neighboring adj. C1 | komşu, yakın
nest n. C1 | yuva, yuvalama
net adj. C1 | net, saf
neutral adj. B2 | tarafsız, nötr
newly adv. B2 | yeni olarak, sonradan
newsletter n. C1 | bülten, haber bülteni
niche n. C1 | niş, özel alan
nickel n. B2 | nikel, beş kuruş
noble adj. C1 | soylu, asil
nod v. C1 | başını sallamak, onaylamak
nominate v. C1 | aday göstermek, adlandırmak
nomination n. C1 | adaylık, adlandırma
nominee n. C1 | aday, aday gösterilen
nonetheless adv. C1 | yine de, buna rağmen
nonprofit adj. C1 | kar amacı gütmeyen, kâr amacı gütmeyen
nonsense n. C1 | saçmalık, anlamsızlık
noon n. C1 | öğlen, orta gün
norm n. B2 | norm, kural
notable adj. C1 | dikkate değer, önemli
notably adv. C1 | özellikle, bilhassa
notebook n. B2 | defter, not defteri
notify v. C1 | bildirmek, haber vermek
notorious adj. C1 | kötü ünlü, adı çıkmış
novel adj. C1 | yeni, özgün
novelist n. B2 | roman yazarı, yazar
nowadays adv. B2 | günümüzde, şu günlerde
nursery n. C1 | kreş, çocuk bakım yeri
nursing adj. B2 | hemşirelik, bakım
nutrition n. B2 | beslenme, besin
obesity n. B2 | obezite, şişmanlık
objection n. C1 | itiraz, karşı çıkma
oblige v. C1 | mecbur etmek, zorlamak
observer n. B2 | gözlemci, izleyici
obsess v. C1 | takıntı yapmak, saplantı yapmak
obsession n. C1 | takıntı, saplantı
obstacle n. B2 | engel, mani
occasional adj. C1 | ara sıra, nadiren
occupation n. B2 | meslek, iş
occupy v. B2 | işgal etmek, yerleşmek
occurrence n. C1 | olay, meydana gelme
odds n. C1 | şans, olasılık
offender n. B2 | suçlu, suç işleyen
offering n. C1 | teklif, sunum
offspring n. C1 | yavru, soy
ongoing adj. B2 | devam eden, süregelen
openly adv. B2 | açıkça, aleni
opera n. B2 | opera, operet
operational adj. C1 | operasyonel, işletme ile ilgili
operator n. B2 | operatör, işletmeci
opt v. C1 | tercih etmek, seçmek
optical adj. C1 | optik, görsel
optimism n. C1 | iyimserlik, umutlu olma
optimistic adj. B2 | iyimser, umutlu
oral adj. C1 | sözlü, ağız yoluyla
orchestra n. B2 | orkestra, senfoni
organic adj. B2 | organik, doğal
organizational adj. C1 | kurumsal, organizasyonel
orientation n. C1 | yönlendirme, uyum
originate v. C1 | köken almak, kaynaklanmak
outbreak n. C1 | salgın, patlama
outfit n. B2 | kıyafet, kombinezon
outing n. C1 | gezi, gezinti
outlet n. C1 | mağaza, satış noktası
outlook n. C1 | görünüm, bakış açısı
output n. B2 | çıktı, ürün
outrage n., v. C1 | hakaret, rezalet
outsider n. C1 | yabancı, dışarıdan gelen
outstanding adj. B2 | olağanüstü, göze çarpan
overcome v. B2 | üstesinden gelmek, aşmak
overlook v. C1 | göz ardı etmek, manzarayı görmek
overly adv. C1 | aşırı derecede, fazlasıyla
overnight adv. B2 | bir gecede, gece boyunca
oversee v. C1 | denetlemek, gözetlemek
overturn v. C1 | devirmek, devrilmek
overwhelm v. C1 | boğmak, etkisi altına almak
overwhelming adj. C1 | ezici, karşı konulamaz
ownership n. B2 | sahiplik, mülkiyet
oxygen n. B2 | oksijen, hava
packet n. B2 | paket, torba
pad n. C1 | ped, yastık
palm n. B2 | avuç içi, palmiye
panic n. B2 | panik, telaş
parade n. B2 | geçit töreni, yürüyüş
parallel adj., n. B2 | paralel, paralel çizgi
parameter n. C1 | parametre, değişken
parental adj. C1 | ebeveyn, anne-baba ile ilgili
parliament n. C1 | meclis, parlamento
partial adj. C1 | kısmi, taraflı
partially adv. C1 | kısmen, kısmi olarak
participation n. B2 | katılım, iştirak
partnership n. B2 | ortaklık, işbirliği
part-time adj./adv. B2 | yarı zamanlı, kısmi zamanlı
passing n. C1 | geçme, geçiş
passionate adj. B2 | tutkulu, ihtiraslı
passive adj. C1 | pasif, hareketsiz
password n. B2 | şifre, parola
pastor n. C1 | papaz, din adamı
patch n. B2 | yama, tamirat
patent n. C1 | patent, özel izin
pathway n. C1 | yol, patika
patience n. B2 | sabır, tahammül
patrol n., v. C1 | devriye, devriye gezmek
